

~~~~~~~~~~~ 2023-03-06 16:14:29 ~~~~~~~~~~~

Name    Grow prc min: 30, 60, 90, 120
USD_JPY, 0.005883, -0.008834, -0.047070, -0.050008
EUR_TRY, -0.110996, 0.017400, 0.045010, 0.065397
USD_CAD, 0.002934, -0.019095, -0.026439, -0.071940
EUR_CZK, 0.354945, 0.340035, 0.344934, 0.343228
CAD_CHF, 0.001465, -0.023392, -0.103726, -0.094973
NZD_HKD, -0.037822, -0.008630, 0.079452, 0.172039
NZD_CHF, -0.034683, -0.048546, -0.045075, 0.003463
EUR_USD, -0.027149, 0.003739, 0.029029, 0.054331
GBP_JPY, 0.001223, 0.018972, 0.011016, 0.023258
USD_TRY, -0.083375, 0.013606, 0.016403, 0.011063
CHF_HKD, -0.002612, 0.039029, 0.126916, 0.165568
NZD_CAD, -0.036751, -0.026084, 0.056957, 0.099718
EUR_NZD, 0.008699, 0.006382, -0.059701, -0.118179
GBP_CAD, 0.001828, 0.013436, 0.040326, 0.008549
EUR_AUD, -0.010711, 0.012607, -0.015120, -0.041577
SGD_JPY, -0.019790, -0.007914, -0.027708, -0.026719
TRY_JPY, 0.083485, -0.013899, -0.083345, -0.055581
EUR_ZAR, -0.025340, 0.014319, -0.019950, 0.036437
AUD_JPY, -0.020764, -0.026232, -0.014210, 0.037179
EUR_SEK, -0.009309, 0.003229, -0.019872, -0.033036
USD_SGD, 0.020818, -0.005201, -0.024520, -0.028239
USD_THB, -0.110132, -0.162205, -0.167996, -0.162205
GBP_CHF, 0.016083, -0.005356, -0.061600, -0.083898
GBP_AUD, 0.033022, 0.053745, 0.033022, -0.003915
USD_PLN, 0.054446, 0.036211, -0.017987, -0.036185
EUR_NOK, -0.088938, -0.062901, -0.107244, -0.130384
CAD_HKD, -0.000695, 0.018908, 0.023243, 0.071847
CAD_JPY, 0.000000, 0.014023, -0.022031, 0.024036
USD_ZAR, 0.001745, 0.010077, -0.047659, -0.018852
NZD_SGD, -0.019193, -0.009598, 0.057631, 0.144205
USD_HUF, -0.032577, -0.090035, -0.099651, -0.147712
EUR_CAD, -0.028886, -0.017880, 0.001369, -0.018568
CAD_SGD, 0.018217, 0.014169, 0.002020, 0.044540
GBP_ZAR, -0.004823, 0.035465, 0.009396, 0.052341
EUR_HUF, -0.074249, -0.097039, -0.082205, -0.106568
AUD_NZD, 0.010128, -0.008283, -0.048758, -0.085521
USD_CHF, 0.004297, -0.038664, -0.128760, -0.165180
AUD_USD, -0.026740, -0.017826, 0.034190, 0.086260
USD_NOK, -0.062189, -0.061897, -0.132531, -0.182312
SGD_CHF, -0.017340, -0.034674, -0.103960, -0.137128


~~~~~~~~~~~ 2023-03-06 20:11:17 ~~~~~~~~~~~

Name    Grow prc min: 30, 60, 90, 120
